0.49, 0.458929, 0.000512581, 0.152126
0.5, 0.454067, 0.00062685, 0.152126
0.51, 0.449226, 0.000759521, 0.152126
0.52, 0.444402, 0.000912363, 0.152126
0.53, 0.439594, 0.00108716, 0.152126
0.54, 0.4348, 0.00128575, 0.152126
0.55, 0.430016, 0.00150999, 0.152126
0.56, 0.425242, 0.00176176, 0.152126
0.57, 0.420474, 0.00204297, 0.152126
0.58, 0.415711, 0.00235555, 0.152126
0.59, 0.410951, 0.00270141, 0.152126
0.6, 0.406191, 0.00308257, 0.152126
0.61, 0.401429, 0.00350098, 0.152126
0.62, 0.396664, 0.0039587, 0.152126
0.63, 0.391892, 0.00445781, 0.152126
0.64, 0.387112, 0.00500043, 0.152126
0.65, 0.382321, 0.00558871, 0.152126
0.66, 0.377517, 0.00622492, 0.152126
0.67, 0.372697, 0.00691141, 0.152126
0.68, 0.367858, 0.00765057, 0.152126
0.69, 0.362999, 0.00844486, 0.152126
0.7, 0.358115, 0.009297, 0.152126
0.71, 0.353204, 0.0102098, 0.152126
0.72, 0.348264, 0.0111863, 0.152126
0.73, 0.343289, 0.0122296, 0.152126
0.74, 0.338277, 0.0133429, 0.152126
0.75, 0.333224, 0.0145303, 0.152126
0.76, 0.328125, 0.0157955, 0.152126
0.77, 0.322976, 0.017143, 0.152126
0.78, 0.317772, 0.0185777, 0.152126
0.79, 0.312508, 0.0201044, 0.152126
0.8, 0.307176, 0.0217294, 0.152126
0.81, 0.30177, 0.0234593, 0.152126
0.82, 0.296283, 0.0253012, 0.152126
0.83, 0.290706, 0.0272636, 0.152126
0.84, 0.285028, 0.0293566, 0.152126
0.85, 0.279239, 0.031591, 0.152126
